date,Dishwasher,Home office,Fridge,Wine cellar,Garage door,Barn,Well,Microwave,Living room,Furnace,Kitchen,total_house_usage,Temperature,Humidity,Visibility,Pressure,Wind speed,Wind bearing,Percipitation intensity,Cloud cover,Summary,Month,Day,Weekday,is_weekend,Quarter,movave_7,movstd_7,movave_30,movstd_30,movave_90,movstd_90,movave_365,movstd_365,Season,Appliances,is_holiday
2016-04-28,131.273723288,101.17975001,88.71773334,41.024033345,24.740766664,60.25906669,40.785616668,22.709666661,96.99375,227.586433346,13.006789758,848.27732977,46.575541666666666,0.9105833333333333,6.974638888888888,1014.5930277777777,3.2050694444444447,170.45555555555555,0.013189305555555555,0.7957916666666667,Clear,4,28,Thursday,0,2,731.4408590487143,80.36644666534248,818.3567694197999,200.25415232596336,942.8848341857555,242.80344067024885,,,Spring,495.028323299,0
2016-04-29,62.289626652,89.154766668,69.712066657,28.930683343,19.887500004,165.908583341,20.895383314,15.929483344000001,88.167199987,239.405866642,13.639241657,813.920401609,49.20908333333333,0.8799166666666666,8.310513888888888,1011.3192361111111,3.3700416666666664,88.29444444444445,0.0064801388888888894,1.0,Clear,4,29,Friday,0,2,751.1732963924286,81.37694134938238,815.1372555239334,199.49654877438923,940.6412929831889,243.05450784853227,,,Spring,407.224543299,0
2016-04-30,0.13161347,82.778366682,73.516566658,34.443033335,22.019549994,223.00048334000002,21.616466671,15.949066654000001,35.265950007,217.957733348,13.648076195,740.326906354,46.77415277777778,0.8270833333333333,9.366083333333334,1009.3886527777777,6.9082083333333335,45.22222222222222,0.0030490277777777777,1.0,Clear,4,30,Saturday,1,2,764.8879693435714,67.22785580697145,809.7452006978333,199.25128382665892,936.9099875684444,243.52815568691105,,,Spring,329.57453012400003,0
2016-05-01,69.392529067,104.974833338,79.769900011,25.91646665,20.765033343,117.165566675,27.601583324,13.068450007,16.482149992,332.670933344,13.898275601,821.705721352,49.08420833333333,0.7692083333333334,9.60536111111111,1006.3634583333334,9.842555555555556,32.076388888888886,0.0006454166666666666,0.9611111111111111,Clear,5,1,Sunday,1,2,781.3120415077143,64.64776795028418,813.8709668462666,198.1345343790764,936.1121257782668,243.78942214020543,,,Spring,515.666845772,0
2016-05-02,114.14162472699999,129.786216665,107.615416656,34.797916646,19.039350008,47.602649991999996,25.858000018000002,60.07880001,98.242383338,316.820483321,15.306871957,969.289713338,52.50772222222222,0.8072361111111112,8.78748611111111,1009.605375,6.485166666666666,64.92916666666666,0.007305416666666667,0.6272361111111111,Clear,5,2,Monday,0,2,799.6059181454285,95.28770163459708,820.8436694475666,199.8505958093719,937.0464493022889,243.75324442561202,,,Spring,617.6956747219999,0
2016-05-03,0.125791589,125.500583342,59.653266649,26.765583323,19.158366667,54.745016652,15.984150026,16.162349996,44.849283311,275.98261666,10.6540556,649.581063815,51.883208333333336,0.8732222222222222,8.486486111111113,1006.9668055555555,4.751277777777778,96.25833333333334,0.0014068055555555555,0.7012222222222222,Clear,5,3,Tuesday,0,2,792.0175107441428,105.82381001834435,800.1466417915667,183.13024428651448,935.5936148292554,245.08381048753066,,,Spring,371.082391561,0
2016-05-04,73.386555091,96.091133339,69.55908332,28.578733324,18.982166656,50.539299998,15.451550025000001,12.145883347,46.016300013,351.372966632,18.040309051,780.163980796,50.88116666666667,0.6029444444444445,9.367263888888889,1007.3697638888889,10.493347222222223,250.40833333333333,0.0019644444444444444,0.294125,Clear,5,4,Wednesday,0,2,803.3235881477142,98.45261295930793,781.5780102222333,152.47028564283258,935.320987079411,245.24464440258203,,,Spring,525.4466550459999,0
2016-05-05,62.264060427,135.312849994,87.173033335,38.243633331,19.842949989,48.272316669,22.231600062000002,14.704133337,44.735799994,345.357016647,14.779625114,832.917018899,50.56341666666667,0.46094444444444443,10.0,1018.0240138888889,9.106097222222223,299.99305555555554,0.0,0.08955555555555555,Clear,5,5,Thursday,0,2,801.1292580232857,97.44975513567216,775.0925943941332,145.6347329471439,933.209469576889,245.29975019000582,,,Spring,529.341193735,0
2016-05-06,69.021142227,104.378749992,78.185399989,43.350199996,19.670049981000002,187.804466656,9.56676667,10.496100011000001,74.80981667,266.612350003,12.572657696,876.4676998909999,54.52377777777778,0.47675,9.986305555555557,1021.1933472222222,5.129236111111111,252.79305555555555,0.0,0.027222222222222224,Clear,5,6,Friday,0,2,810.0645863492856,101.59733877648699,772.6600727451665,143.2114423268958,933.2239085188002,245.29633357407744,,,Spring,443.98504221100006,0
2016-05-07,78.378278195,191.57583334,96.611000012,48.787583338,19.630050007,177.415350002,25.592650038,8.71286668,38.838816673,288.213016656,15.76962655,989.525071491,60.61372222222222,0.42723611111111115,10.0,1020.1320416666666,3.1516805555555556,171.88055555555556,0.0,0.023111111111111114,Clear,5,7,Saturday,1,2,845.664324226,115.76085106569596,778.8758191631333,148.52419415706456,932.7847229160333,245.15817878936213,,,Spring,491.54521155,0
2016-05-08,72.375131797,121.229966668,88.368650007,35.705966661,21.483533337,290.224133329,15.447866681,37.185616686,44.532516663,204.149966653,22.304441998,953.00779048,64.55319444444444,0.4774583333333333,9.990333333333334,1015.4965555555556,5.178944444444444,178.20277777777778,0.0,0.08688888888888889,Clear,5,8,Sunday,1,2,864.4217626728571,121.71631118634151,784.2275016687,151.88492950120275,928.8347717873778,241.8785484934988,,,Spring,423.56289848,0
2016-05-09,59.070993395,129.812416672,85.364400002,43.835266662,22.844350002,255.106966667,35.352966671,18.652016694,97.585183338,204.052933341,10.215224526,961.89271797,60.29972222222223,0.8226388888888888,7.183375,1007.9034722222223,4.620875,227.06944444444446,0.0071130555555555565,0.42773611111111115,Clear,5,9,Monday,0,2,863.3650490488571,120.68184480754256,780.1293264367667,144.99659255464007,926.3912862976443,240.40056667677635,,,Spring,389.98469343399995,0
2016-05-10,70.636661469,106.061249994,92.423266663,36.423816645,22.106666653,65.491183342,14.522600013,6.793800017,38.445766666,178.535816683,18.762710212,650.203538357,57.11654166666667,0.5902777777777778,9.780486111111111,1003.0405555555554,11.801652777777779,247.89444444444445,0.0035001388888888886,0.23656944444444447,Clear,5,10,Tuesday,0,2,863.4539739834287,120.49815208912784,767.6327072397667,139.19478074482782,922.5072360439,242.02015617732383,,,Spring,370.496211485,0
2016-05-11,0.011899969,86.794250002,72.279616671,46.01421665,23.340299997,47.073216667,10.085583318,5.895566659,27.419300015,139.554416672,12.737192519,471.205559139,45.36372222222222,0.4733611111111111,10.0,1010.63075,14.022777777777778,278.4611111111111,0.0,0.2514722222222222,Clear,5,11,Wednesday,0,2,819.3170566038572,191.6611382943753,748.8598182944665,139.95272530807827,912.5738816500779,241.99251465067016,,,Spring,241.08179996799998,0
2016-05-12,55.814912176,91.646216668,78.890666656,60.216183344,21.917766652,226.217450002,19.728499999,11.441383345,65.748849993,133.118466675,7.352339204,772.092734714,52.98813888888889,0.4884166666666667,9.995569444444445,1018.1127916666666,9.718819444444446,261.81944444444446,0.0,0.13854166666666667,Clear,5,12,Thursday,0,2,810.6278731488572,192.3194459891748,751.8136883400333,139.45945417411167,904.8344556524888,235.04737536886034,,,Spring,301.18319550399997,0
2016-05-13,66.76725704,70.174849979,121.537816653,55.659399998,19.345616668,171.62120001899999,21.191149992,12.871750011,83.851399996,164.411366648,13.117991692,800.549798696,56.69291666666667,0.5097777777777778,9.974222222222222,1019.5494444444444,5.777583333333333,178.50416666666666,0.0,0.109375,Clear,5,13,Friday,0,2,799.7824586924287,190.11572770710762,749.7231421922334,138.19547372191775,894.2086278229777,217.02142387658503,,,Spring,384.93380702,0
