date,total_house_usage,total_house_usage_log
2016-09-05,842.478962586,6.73753496105378
2016-09-06,707.766882197,6.563526674436584
2016-09-07,661.859331507,6.496562798001993
2016-09-08,833.346714475,6.726649040759306
2016-09-09,1046.64153105,6.954296755843554
2016-09-10,818.49953211,6.708693827238023
2016-09-11,1075.028832226,6.981032536111801
2016-09-12,839.746602099,6.734290309100467
2016-09-13,710.8154183,6.567818633841777
2016-09-14,734.99562188,6.601224170178575
2016-09-15,656.464480677,6.48839074080866
2016-09-16,484.926007929,6.186056365250063
2016-09-17,447.170759657,6.105174319740646
2016-09-18,505.778566165,6.228074155060524
2016-09-19,796.305717699,6.681238190809714
2016-09-20,659.53788536,6.493054480924554
2016-09-21,604.955986097,6.406807353228643
2016-09-22,586.728700314,6.376265447399843
2016-09-23,760.687468495,6.635536325221613
2016-09-24,777.577347289,6.65746834059565
2016-09-25,1068.519718597,6.974964965563343
2016-09-26,708.559735515,6.564644686875588
2016-09-27,633.426903257,6.4527220768253155
2016-09-28,612.357367303,6.418947746987286
2016-09-29,566.581438974,6.3413842438597285
2016-09-30,644.660522237,6.470273858282144
2016-10-01,856.609636372,6.75414902669464
2016-10-02,756.566590062,6.630111441192478
2016-10-03,835.393178591,6.729098811843316
2016-10-04,707.021315286,6.562474199576691
2016-10-05,640.409748882,6.463668486523027
2016-10-06,704.221314868,6.558511675347712
2016-10-07,511.550623391,6.2393994834826945
2016-10-08,382.328596754,5.948892576318934
2016-10-09,661.354088399,6.495800289677084
2016-10-10,819.142668609,6.709478311233008
2016-10-11,551.609317963,6.314651274386604
2016-10-12,655.997070371,6.487679559374212
2016-10-13,596.0751208,6.3920429359623725
2016-10-14,653.775501133,6.484292430522461
2016-10-15,1052.471747995,6.959846415604161
2016-10-16,728.487405443,6.592342103170899
2016-10-17,685.6198686280001,6.531780818309536
2016-10-18,901.070317984,6.804692474877727
2016-10-19,712.231788102,6.569806456086582
2016-10-20,754.868421326,6.627867315166714
2016-10-21,568.583408891,6.34490523202432
2016-10-22,823.403646757,6.714660272535147
2016-10-23,958.358676167,6.866265015560576
2016-10-24,798.631796422,6.6841513672458275
2016-10-25,884.390345102,6.786028615677935
2016-10-26,1057.9929134,6.965073653794314
2016-10-27,926.478779969,6.832469915480245
2016-10-28,589.848676696,6.381559938421012
2016-10-29,565.75412866,6.339925574160398
2016-10-30,529.550343044,6.27391485090124
2016-10-31,828.467243376,6.7207836192498
2016-11-01,760.569411115,6.635381318693408
2016-11-02,657.819219232,6.490449170968427
2016-11-03,645.960331712,6.47228498151156
2016-11-04,657.626886399,6.4901571926726245
2016-11-05,1084.743081324,6.990019899139505
2016-11-06,867.356049875,6.766601826261615
2016-11-07,619.043691623,6.429789945915895
2016-11-08,854.639034964,6.751848599080133
2016-11-09,792.129014186,6.675985899683267
2016-11-10,673.403748989,6.513828965671305
2016-11-11,874.601034561,6.774910547193236
2016-11-12,1021.939342811,6.930435470753818
2016-11-13,901.597529367,6.80527675014896
2016-11-14,860.143262905,6.758260881881241
2016-11-15,836.7357170180001,6.730702677254533
2016-11-16,695.137864219,6.545547721493438
2016-11-17,704.595017429,6.559041443200813
2016-11-18,775.60584763,6.654932947052891
2016-11-19,795.322930605,6.680004795288574
2016-11-20,896.141892362,6.799214035013677
2016-11-21,1315.829391078,7.182982149751177
2016-11-22,1177.616191859,7.072096310523428
2016-11-23,939.872931347,6.846808094704212
2016-11-24,1301.054360333,7.171698573304782
2016-11-25,962.721215031,6.870802056759377
2016-11-26,898.221914109,6.801529849515287
2016-11-27,1277.263363749,7.153257688627931
2016-11-28,934.045176838,6.840594845595232
2016-11-29,1044.959378064,6.952689808367882
2016-11-30,753.602622443,6.626191282799814
2016-12-01,921.429848721,6.82701132827625
2016-12-02,883.043646462,6.784506435244588
2016-12-03,797.695657573,6.682979969039902
2016-12-04,1001.932758928,6.910683745762514
2016-12-05,1330.846710529,7.194321762292436
2016-12-06,1015.609677269,6.924228524216954
2016-12-07,915.784648472,6.820872601134417
2016-12-08,1120.371163627,7.022307468740611
2016-12-09,1179.23295921,7.073467121033665
2016-12-10,1174.760559881,7.069670502184782
2016-12-11,1083.740461769,6.9890960316174455
2016-12-12,1054.986379305,6.962230565797605
2016-12-13,801.989115101,6.688341158563481
2016-12-14,928.444233522,6.834586809150788
2016-12-15,1157.175788108,7.054601449814073
