date,total_house_usage,Temperature,Humidity,Visibility,Pressure,Wind speed,Wind bearing,Percipitation intensity,Cloud cover,Summary,Month,Day,Weekday,is_weekend,Quarter,Season,is_holiday,total_house_usage_log
2016-05-19,597.32960476,61.834319444444446,0.7385972222222221,9.615416666666668,1012.3488194444444,5.530180555555556,91.72222222222224,0.0072540277777777,0.4067777777777778,Clear,5,19,Thursday,0,2,Spring,0,6.394141780635968
2016-05-20,617.122145671,66.78747222222222,0.6583194444444445,7.441944444444444,1015.5441805555556,4.995152777777778,237.05,0.0001127777777777,0.13675,Clear,5,20,Friday,0,2,Spring,0,6.42668608464498
2016-05-21,369.299345218,72.49115277777777,0.5920694444444444,9.578416666666667,1017.5395833333332,4.814666666666667,227.68194444444444,0.0,0.0758611111111111,Clear,5,21,Saturday,1,2,Spring,0,5.9143117196706365
2016-05-22,413.768482827,73.66334722222223,0.6381527777777778,9.708277777777775,1017.072125,5.636069444444444,180.74722222222223,0.0011565277777777,0.1295,Clear,5,22,Sunday,1,2,Spring,0,6.027720491855798
2016-05-23,657.496052678,76.46330555555556,0.6789027777777777,9.392194444444444,1018.0556388888888,4.866055555555556,196.26666666666668,0.0006116666666666,0.0709444444444444,Clear,5,23,Monday,0,2,Spring,0,6.48995852675079
2016-05-24,386.436952509,72.43036111111111,0.7381111111111112,9.03977777777778,1019.29,3.8062222222222224,99.66666666666669,0.0002134722222222,0.084375,Clear,5,24,Tuesday,0,2,Spring,0,5.959553132353219
2016-05-25,388.056889077,69.37745833333334,0.8286388888888889,8.278069444444444,1014.3130555555556,5.125125000000001,154.34444444444443,0.0128486111111111,0.3858333333333333,Clear,5,25,Wednesday,0,2,Spring,0,5.963725577339656
2016-05-26,404.887139187,72.14225,0.5922638888888889,9.341305555555556,1013.4881666666666,6.1439305555555555,278.6430555555556,0.0,0.0913055555555555,Clear,5,26,Thursday,0,2,Spring,0,6.006075138659463
2016-05-27,449.374502803,68.41883333333332,0.6070972222222223,9.965569444444444,1019.6427361111112,5.752430555555556,93.39861111111112,0.0,0.1002222222222222,Clear,5,27,Friday,0,2,Spring,0,6.110079465105394
2016-05-28,447.17845199,67.24761111111111,0.6599166666666666,9.684652777777778,1019.7470833333334,6.5525,127.68194444444444,4.25e-05,0.2032361111111111,Clear,5,28,Saturday,1,2,Spring,0,6.1051914834373395
2016-05-29,469.172104979,65.21280555555556,0.8290694444444444,8.850708333333333,1016.6975833333332,5.164625,192.78472222222223,0.0007590277777777,0.4613472222222222,Clear,5,29,Sunday,1,2,Spring,0,6.153098808482658
2016-05-30,455.904833831,71.39006944444444,0.6871527777777777,8.685930555555556,1013.9788472222224,3.4792083333333337,205.32638888888889,0.0005155555555555,0.1492222222222222,Clear,5,30,Monday,0,2,Spring,1,6.124475128139001
2016-05-31,574.870338711,64.40509722222222,0.9105555555555556,7.249583333333333,1005.8943055555555,5.984236111111111,171.21944444444443,0.0223380555555555,0.5331527777777778,Light Rain,5,31,Tuesday,0,2,Spring,0,6.355882528951128
